"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2021","150.43","152.12","152.50","149.29","10.20M","-1.49%"
"12/10/2021","152.71","153.58","154.66","151.45","10.25M","-0.15%"
"12/09/2021","152.94","152.27","154.29","151.70","11.86M","-0.26%"
"12/08/2021","153.34","150.91","153.65","150.56","12.89M","1.68%"
"12/07/2021","150.81","151.84","152.76","149.72","14.66M","0.29%"
"12/06/2021","150.37","147.28","150.74","146.67","14.33M","2.84%"
"12/03/2021","146.22","147.81","148.32","144.32","14.98M","-0.67%"
"12/02/2021","147.20","142.84","147.65","142.77","18.18M","3.55%"
"12/01/2021","142.15","146.70","148.37","142.04","16.50M","-1.90%"
"11/30/2021","144.90","146.72","147.28","143.11","26.01M","-1.97%"
"11/29/2021","147.81","148.81","149.30","144.25","21.23M","-0.20%"
"11/26/2021","148.11","146.80","148.85","145.85","12.03M","-2.13%"
"11/24/2021","151.34","150.69","151.41","148.80","14.12M","0.21%"
"11/23/2021","151.03","153.84","154.25","150.19","17.38M","-2.03%"
"11/22/2021","154.16","153.23","155.82","152.57","12.79M","0.10%"
"11/19/2021","154.00","155.02","155.21","152.77","16.78M","-1.02%"
"11/18/2021","155.58","157.09","157.30","153.71","14.49M","-1.11%"
"11/17/2021","157.33","158.73","158.89","156.75","14.70M","-0.94%"
"11/16/2021","158.83","159.06","160.24","158.55","15.52M","0.25%"
"11/15/2021","158.43","160.09","160.72","157.66","21.29M","-0.75%"
"11/12/2021","159.63","163.52","163.61","158.93","25.64M","-1.53%"
"11/11/2021","162.11","162.89","163.96","158.33","62.37M","-7.07%"
"11/10/2021","174.45","174.69","176.87","173.87","11.05M","-0.38%"
"11/09/2021","175.11","176.95","177.12","173.21","7.29M","-1.00%"
"11/08/2021","176.87","178.69","179.25","176.10","10.58M","0.71%"
"11/05/2021","175.63","173.50","176.99","172.33","16.86M","3.14%"
"11/04/2021","170.28","170.03","170.42","168.67","7.51M","0.12%"
"11/03/2021","170.08","169.70","170.19","168.37","6.83M","0.15%"
"11/02/2021","169.83","170.03","170.85","168.98","6.78M","-0.21%"
"11/01/2021","170.19","169.21","171.25","169.09","8.18M","0.66%"
"10/29/2021","169.07","169.02","170.46","168.15","7.60M","-0.36%"
"10/28/2021","169.68","169.48","170.35","168.60","7.88M","0.08%"
"10/27/2021","169.55","171.77","172.04","169.43","7.05M","-1.45%"
"10/26/2021","172.04","172.95","173.12","170.71","5.85M","0.02%"
"10/25/2021","172.01","169.90","172.57","169.02","9.80M","1.53%"
"10/22/2021","169.42","170.57","170.80","168.60","7.85M","-1.12%"
"10/21/2021","171.34","170.20","172.50","170.10","7.51M","0.46%"
"10/20/2021","170.55","170.97","171.02","169.88","9.74M","-0.37%"
"10/19/2021","171.18","171.44","171.58","170.18","9.67M","0.02%"
"10/18/2021","171.14","172.36","173.34","169.80","20.49M","-3.01%"
"10/15/2021","176.46","175.69","178.89","174.10","13.94M","1.18%"
"10/14/2021","174.41","174.07","176.02","174.00","7.45M","0.84%"
"10/13/2021","172.96","173.63","173.70","170.94","8.92M","-0.10%"
"10/12/2021","173.13","173.62","174.49","172.54","5.19M","-0.22%"
"10/11/2021","173.52","176.02","176.52","173.48","8.05M","-1.82%"
